"z","P[Z<z]","P[Z>z]","P[|Z|<z]","P[|Z|>z]"
-3,0.0013,0.9987,0,1
-2.99,0.0014,0.9986,0,1
-2.98,0.0014,0.9986,0,1
-2.97,0.0015,0.9985,0,1
-2.96,0.0015,0.9985,0,1
-2.95,0.0016,0.9984,0,1
-2.94,0.0016,0.9984,0,1
-2.93,0.0017,0.9983,0,1
-2.92,0.0018,0.9982,0,1
-2.91,0.0018,0.9982,0,1
-2.9,0.0019,0.9981,0,1
-2.89,0.0019,0.9981,0,1
-2.88,0.002,0.998,0,1
-2.87,0.0021,0.9979,0,1
-2.86,0.0021,0.9979,0,1
-2.85,0.0022,0.9978,0,1
-2.84,0.0023,0.9977,0,1
-2.83,0.0023,0.9977,0,1
-2.82,0.0024,0.9976,0,1
-2.81,0.0025,0.9975,0,1
-2.8,0.0026,0.9974,0,1
-2.79,0.0026,0.9974,0,1
-2.78,0.0027,0.9973,0,1
-2.77,0.0028,0.9972,0,1
-2.76,0.0029,0.9971,0,1
-2.75,0.003,0.997,0,1
-2.74,0.0031,0.9969,0,1
-2.73,0.0032,0.9968,0,1
-2.72,0.0033,0.9967,0,1
-2.71,0.0034,0.9966,0,1
-2.7,0.0035,0.9965,0,1
-2.69,0.0036,0.9964,0,1
-2.68,0.0037,0.9963,0,1
-2.67,0.0038,0.9962,0,1
-2.66,0.0039,0.9961,0,1
-2.65,0.004,0.996,0,1
-2.64,0.0041,0.9959,0,1
-2.63,0.0043,0.9957,0,1
-2.62,0.0044,0.9956,0,1
-2.61,0.0045,0.9955,0,1
-2.6,0.0047,0.9953,0,1
-2.59,0.0048,0.9952,0,1
-2.58,0.0049,0.9951,0,1
-2.57,0.0051,0.9949,0,1
-2.56,0.0052,0.9948,0,1
-2.55,0.0054,0.9946,0,1
-2.54,0.0055,0.9945,0,1
-2.53,0.0057,0.9943,0,1
-2.52,0.0059,0.9941,0,1
-2.51,0.006,0.994,0,1
-2.5,0.0062,0.9938,0,1
-2.49,0.0064,0.9936,0,1
-2.48,0.0066,0.9934,0,1
-2.47,0.0068,0.9932,0,1
-2.46,0.0069,0.9931,0,1
-2.45,0.0071,0.9929,0,1
-2.44,0.0073,0.9927,0,1
-2.43,0.0075,0.9925,0,1
-2.42,0.0078,0.9922,0,1
-2.41,0.008,0.992,0,1
-2.4,0.0082,0.9918,0,1
-2.39,0.0084,0.9916,0,1
-2.38,0.0087,0.9913,0,1
-2.37,0.0089,0.9911,0,1
-2.36,0.0091,0.9909,0,1
-2.35,0.0094,0.9906,0,1
-2.34,0.0096,0.9904,0,1
-2.33,0.0099,0.9901,0,1
-2.32,0.0102,0.9898,0,1
-2.31,0.0104,0.9896,0,1
-2.3,0.0107,0.9893,0,1
-2.29,0.011,0.989,0,1
-2.28,0.0113,0.9887,0,1
-2.27,0.0116,0.9884,0,1
-2.26,0.0119,0.9881,0,1
-2.25,0.0122,0.9878,0,1
-2.24,0.0125,0.9875,0,1
-2.23,0.0129,0.9871,0,1
-2.22,0.0132,0.9868,0,1
-2.21,0.0136,0.9864,0,1
-2.2,0.0139,0.9861,0,1
-2.19,0.0143,0.9857,0,1
-2.18,0.0146,0.9854,0,1
-2.17,0.015,0.985,0,1
-2.16,0.0154,0.9846,0,1
-2.15,0.0158,0.9842,0,1
-2.14,0.0162,0.9838,0,1
-2.13,0.0166,0.9834,0,1
-2.12,0.017,0.983,0,1
-2.11,0.0174,0.9826,0,1
-2.1,0.0179,0.9821,0,1
-2.09,0.0183,0.9817,0,1
-2.08,0.0188,0.9812,0,1
-2.07,0.0192,0.9808,0,1
-2.06,0.0197,0.9803,0,1
-2.05,0.0202,0.9798,0,1
-2.04,0.0207,0.9793,0,1
-2.03,0.0212,0.9788,0,1
-2.02,0.0217,0.9783,0,1
-2.01,0.0222,0.9778,0,1
-2,0.0228,0.9772,0,1
-1.99,0.0233,0.9767,0,1
-1.98,0.0239,0.9761,0,1
-1.97,0.0244,0.9756,0,1
-1.96,0.025,0.975,0,1
-1.95,0.0256,0.9744,0,1
-1.94,0.0262,0.9738,0,1
-1.93,0.0268,0.9732,0,1
-1.92,0.0274,0.9726,0,1
-1.91,0.0281,0.9719,0,1
-1.9,0.0287,0.9713,0,1
-1.89,0.0294,0.9706,0,1
-1.88,0.0301,0.9699,0,1
-1.87,0.0307,0.9693,0,1
-1.86,0.0314,0.9686,0,1
-1.85,0.0322,0.9678,0,1
-1.84,0.0329,0.9671,0,1
-1.83,0.0336,0.9664,0,1
-1.82,0.0344,0.9656,0,1
-1.81,0.0351,0.9649,0,1
-1.8,0.0359,0.9641,0,1
-1.79,0.0367,0.9633,0,1
-1.78,0.0375,0.9625,0,1
-1.77,0.0384,0.9616,0,1
-1.76,0.0392,0.9608,0,1
-1.75,0.0401,0.9599,0,1
-1.74,0.0409,0.9591,0,1
-1.73,0.0418,0.9582,0,1
-1.72,0.0427,0.9573,0,1
-1.71,0.0436,0.9564,0,1
-1.7,0.0446,0.9554,0,1
-1.69,0.0455,0.9545,0,1
-1.68,0.0465,0.9535,0,1
-1.67,0.0475,0.9525,0,1
-1.66,0.0485,0.9515,0,1
-1.65,0.0495,0.9505,0,1
-1.64,0.0505,0.9495,0,1
-1.63,0.0516,0.9484,0,1
-1.62,0.0526,0.9474,0,1
-1.61,0.0537,0.9463,0,1
-1.6,0.0548,0.9452,0,1
-1.59,0.0559,0.9441,0,1
-1.58,0.0571,0.9429,0,1
-1.57,0.0582,0.9418,0,1
-1.56,0.0594,0.9406,0,1
-1.55,0.0606,0.9394,0,1
-1.54,0.0618,0.9382,0,1
-1.53,0.063,0.937,0,1
-1.52,0.0643,0.9357,0,1
-1.51,0.0655,0.9345,0,1
-1.5,0.0668,0.9332,0,1
-1.49,0.0681,0.9319,0,1
-1.48,0.0694,0.9306,0,1
-1.47,0.0708,0.9292,0,1
-1.46,0.0721,0.9279,0,1
-1.45,0.0735,0.9265,0,1
-1.44,0.0749,0.9251,0,1
-1.43,0.0764,0.9236,0,1
-1.42,0.0778,0.9222,0,1
-1.41,0.0793,0.9207,0,1
-1.4,0.0808,0.9192,0,1
-1.39,0.0823,0.9177,0,1
-1.38,0.0838,0.9162,0,1
-1.37,0.0853,0.9147,0,1
-1.36,0.0869,0.9131,0,1
-1.35,0.0885,0.9115,0,1
-1.34,0.0901,0.9099,0,1
-1.33,0.0918,0.9082,0,1
-1.32,0.0934,0.9066,0,1
-1.31,0.0951,0.9049,0,1
-1.3,0.0968,0.9032,0,1
